"ENSEMBL","efflen"
"ENSG00000255811",560
"ENSG00000134697",5747
"ENSG00000187513",1716
"ENSG00000225142",436
"ENSG00000230138",933
"ENSG00000223390",762
"ENSG00000284720",1521
"ENSG00000225671",595
"ENSG00000116151",11337
"ENSG00000006555",6111
"ENSG00000236111",681
"ENSG00000066056",6705
"ENSG00000214114",2773
"ENSG00000116544",4042
"ENSG00000231900",1309
"ENSG00000236723",1227
"ENSG00000232467",601
"ENSG00000117016",7259
"ENSG00000169213",12780
"ENSG00000163866",10337
"ENSG00000237130",370
"ENSG00000232335",539
"ENSG00000260971",7878
"ENSG00000284696",3511
"ENSG00000238242",1259
"ENSG00000285839",1986
"ENSG00000232762",752
"ENSG00000162384",4504
"ENSG00000162391",2006
"ENSG00000117859",10273
"ENSG00000228121",819
"ENSG00000253313",1522
"ENSG00000162396",2356
"ENSG00000284686",2655
"ENSG00000162378",8206
"ENSG00000233079",3391
"ENSG00000259818",3591
"ENSG00000229444",469
"ENSG00000240563",3831
"ENSG00000234318",447
"ENSG00000284773",3163
"ENSG00000234481",778
"ENSG00000117862",2864
"ENSG00000235612",731
"ENSG00000228369",391
"ENSG00000227485",359
"ENSG00000224609",7581
"ENSG00000235545",1228
"ENSG00000236646",270
"ENSG00000232198",607
"ENSG00000238063",3673
"ENSG00000227104",430
"ENSG00000243725",3488
"ENSG00000171872",3160
"ENSG00000162407",5272
"ENSG00000285079",2316
"ENSG00000163877",5718
"ENSG00000228929",455
"ENSG00000224570",1797
"ENSG00000224980",433
"ENSG00000278967",1819
"ENSG00000157184",10089
"ENSG00000198815",6896
"ENSG00000134744",16199
"ENSG00000233910",721
"ENSG00000287703",1426
"ENSG00000283039",3159
"ENSG00000229032",342
"ENSG00000229294",512
"ENSG00000234088",405
"ENSG00000236973",1000
"ENSG00000277397",718
"ENSG00000235446",1017
"ENSG00000162385",1363
"ENSG00000234264",1247
"ENSG00000223883",6152
"ENSG00000237227",307
"ENSG00000275350",585
"ENSG00000116652",3555
"ENSG00000123080",3018
"ENSG00000285778",3776
"ENSG00000233407",250
"ENSG00000225675",567
"ENSG00000237622",337
"ENSG00000162598",4422
"ENSG00000280317",301
"ENSG00000162415",6095
"ENSG00000162600",3718
"ENSG00000116704",6193
"ENSG00000157193",19668
"ENSG00000116205",12168
"ENSG00000198841",1708
"ENSG00000116212",2164
"ENSG00000234204",458
"ENSG00000233099",377
"ENSG00000233994",608
"ENSG00000233973",5534
"ENSG00000132854",6814
"ENSG00000227556",107
"ENSG00000162607",3869
"ENSG00000285954",886
"ENSG00000233333",757
"ENSG00000154027",6948
"ENSG00000234108",331
"ENSG00000232676",1124
"ENSG00000225167",295
"ENSG00000213579",457
"ENSG00000137960",3904
"ENSG00000237852",423
"ENSG00000116745",2605
"ENSG00000132855",3371
"ENSG00000285407",2810
"ENSG00000270549",238
"ENSG00000237163",303
"ENSG00000229636",1491
"ENSG00000116675",6958
"ENSG00000162433",7578
"ENSG00000213625",5237
"ENSG00000227207",358
"ENSG00000227016",1382
"ENSG00000233664",321
"ENSG00000158966",7022
"ENSG00000213703",546
"ENSG00000203965",5704
"ENSG00000223479",819
"ENSG00000233674",271
"ENSG00000153898",3442
"ENSG00000117069",6059
"ENSG00000125703",3116
"ENSG00000285041",2636
"ENSG00000285808",1065
"ENSG00000229440",217
"ENSG00000234144",226
"ENSG00000277670",263
"ENSG00000227466",456
"ENSG00000230498",2086
"ENSG00000285782",761
"ENSG00000162618",5798
"ENSG00000224493",670
"ENSG00000131233",2439
"ENSG00000272371",456
"ENSG00000287647",2059
"ENSG00000229225",157
"ENSG00000230863",2159
"ENSG00000225598",580
"ENSG00000286455",1126
"ENSG00000225087",2896
"ENSG00000280378",1755
"ENSG00000230053",368
"ENSG00000137941",10547
"ENSG00000224326",349
"ENSG00000286548",6245
"ENSG00000066135",5184
"ENSG00000272094",879
"ENSG00000228853",534
"ENSG00000232453",2068
"ENSG00000260386",3555
"ENSG00000284895",81
"ENSG00000117174",6203
"ENSG00000237413",2481
"ENSG00000184313",9088
"ENSG00000284645",3304
"ENSG00000225446",1842
"ENSG00000288543",497
"ENSG00000122420",5764
"ENSG00000284240",4926
"ENSG00000236290",703
"ENSG00000143013",5421
"ENSG00000226084",555
"ENSG00000134748",5617
"ENSG00000142892",5514
"ENSG00000219102",1063
"ENSG00000287743",1672
"ENSG00000229332",562
"ENSG00000227937",382
"ENSG00000229752",739
"ENSG00000237505",16635
"ENSG00000285462",1507
"ENSG00000233216",322
"ENSG00000197273",597
"ENSG00000226804",1160
"ENSG00000230728",623
"ENSG00000232846",879
"ENSG00000230787",1111
"ENSG00000116641",24890
"ENSG00000237453",343
"ENSG00000172260",13208
"ENSG00000285473",716
"ENSG00000237959",322
"ENSG00000231364",1841
"ENSG00000234578",470
"ENSG00000137944",2196
"ENSG00000229505",736
"ENSG00000228187",571
"ENSG00000182183",2684
"ENSG00000236407",619
"ENSG00000271949",654
"ENSG00000227062",418
"ENSG00000067334",7518
"ENSG00000235011",355
"ENSG00000226938",383
"ENSG00000213559",922
"ENSG00000287587",1188
"ENSG00000142949",10712
"ENSG00000116133",6214
"ENSG00000232882",621
"ENSG00000171502",9568
"ENSG00000116157",1692
"ENSG00000143036",2869
"ENSG00000230817",2155
"ENSG00000065243",6897
"ENSG00000226759",4340
"ENSG00000226960",589
"ENSG00000234080",877
"ENSG00000237899",471
"ENSG00000227290",920
"ENSG00000282898",559
"ENSG00000285409",597
"ENSG00000231090",2568
"ENSG00000117528",7655
"ENSG00000271723",7090
"ENSG00000172339",9641
"ENSG00000036549",9008
"ENSG00000287724",831
"ENSG00000058799",2036
"ENSG00000225191",1240
"ENSG00000287870",1211
"ENSG00000232048",859
"ENSG00000232857",835
"ENSG00000273637",2171
"ENSG00000203985",2376
"ENSG00000228838",675
"ENSG00000283761",5765
"ENSG00000189433",1444
"ENSG00000230759",418
"ENSG00000179178",2138
"ENSG00000142700",3168
"ENSG00000285525",1414
"ENSG00000236098",592
"ENSG00000233514",360
"ENSG00000127124",14625
"ENSG00000266993",1819
"ENSG00000223675",2171
"ENSG00000229316",653
"ENSG00000287406",968
"ENSG00000225767",503
"ENSG00000234099",1058
"ENSG00000137936",6919
"ENSG00000235308",475
"ENSG00000232752",643
"ENSG00000235829",326
"ENSG00000143032",2044
"ENSG00000226745",685
"ENSG00000280040",672
"ENSG00000117519",2783
"ENSG00000270507",150
"ENSG00000238037",274
"ENSG00000215869",3146
"ENSG00000134215",7306
"ENSG00000227935",708
"ENSG00000228502",1389
"ENSG00000236268",4746
"ENSG00000271277",379
"ENSG00000236888",360
"ENSG00000279778",3087
"ENSG00000230828",346
"ENSG00000188641",7131
"ENSG00000152078",7385
"ENSG00000233359",1734
"ENSG00000237954",879
"ENSG00000171492",4852
"ENSG00000233129",766
"ENSG00000170989",5223
"ENSG00000233557",469
"ENSG00000237897",593
"ENSG00000116299",9194
"ENSG00000137962",18370
"ENSG00000227832",1098
"ENSG00000286692",486
"ENSG00000260464",1766
"ENSG00000237435",2804
"ENSG00000231996",152
"ENSG00000273204",429
"ENSG00000079739",4077
"ENSG00000117154",3033
"ENSG00000162377",4148
"ENSG00000224613",2774
"ENSG00000215871",814
"ENSG00000287372",4336
"ENSG00000232542",401
"ENSG00000116774",2821
"ENSG00000287756",1453
"ENSG00000284652",1765
"ENSG00000023909",5426
"ENSG00000069702",8577
"ENSG00000232185",832
"ENSG00000230489",619
"ENSG00000228399",343
"ENSG00000236776",460
"ENSG00000224685",321
"ENSG00000287076",2626
"ENSG00000237480",8919
"ENSG00000271252",287
"ENSG00000230427",1096
"ENSG00000235794",331
"ENSG00000286758",599
"ENSG00000237337",858
"ENSG00000233983",399
"ENSG00000198198",26354
"ENSG00000225183",238
"ENSG00000230402",497
"ENSG00000116793",7170
"ENSG00000238122",2481
"ENSG00000260879",1566
"ENSG00000283354",285
"ENSG00000232918",488
"ENSG00000183298",880
"ENSG00000234332",674
"ENSG00000117525",2886
"ENSG00000225079",520
"ENSG00000226483",670
"ENSG00000224238",2060
"ENSG00000229537",2067
"ENSG00000162699",943
"ENSG00000162692",6049
"ENSG00000203914",1567
"ENSG00000270457",338
"ENSG00000203858",1118
"ENSG00000231987",1994
"ENSG00000228057",1258
"ENSG00000224445",1045
"ENSG00000229842",667
"ENSG00000270631",558
"ENSG00000229201",231
"ENSG00000181656",3492
"ENSG00000122481",1927
"ENSG00000198162",9667
"ENSG00000238198",2467
"ENSG00000171517",3536
"ENSG00000228852",1418
"ENSG00000203864",386
"ENSG00000233482",352
"ENSG00000230250",707
"ENSG00000232878",1479
"ENSG00000143079",7371
"ENSG00000232450",748
"ENSG00000223575",957
"ENSG00000230768",3120
"ENSG00000235202",858
"ENSG00000272715",383
"ENSG00000235038",620
"ENSG00000085491",6726
"ENSG00000173947",3949
"ENSG00000230434",1183
"ENSG00000230718",358
"ENSG00000134198",3413
"ENSG00000235595",993
"ENSG00000226053",2229
"ENSG00000226128",433
"ENSG00000198799",12467
"ENSG00000279513",1492
"ENSG00000117620",18235
"ENSG00000280186",2331
"ENSG00000223906",467
"ENSG00000162688",8157
"ENSG00000197106",6636
"ENSG00000259946",1810
"ENSG00000236137",1946
"ENSG00000203859",2277
"ENSG00000228086",592
"ENSG00000213421",783
"ENSG00000234020",1133
"ENSG00000236804",753
"ENSG00000231072",1003
"ENSG00000273406",476
"ENSG00000185946",6867
"ENSG00000162627",2067
"ENSG00000226715",2862
"ENSG00000162695",8600
"ENSG00000265808",9039
"ENSG00000225923",742
"ENSG00000134247",6488
"ENSG00000187481",1111
"ENSG00000162664",10988
"ENSG00000236866",1091
"ENSG00000134253",4368
"ENSG00000223416",348
"ENSG00000179571",2119
"ENSG00000227850",180
"ENSG00000235777",974
"ENSG00000285532",1014
"ENSG00000226755",508
"ENSG00000232650",1528
"ENSG00000183508",5654
"ENSG00000277095",1807
"ENSG00000234283",420
"ENSG00000232780",915
"ENSG00000274927",1232
"ENSG00000264145",675
"ENSG00000238256",143
"ENSG00000198765",4278
"ENSG00000224335",217
"ENSG00000277702",213
"ENSG00000143398",5405
"ENSG00000196505",10487
"ENSG00000223489",2629
"ENSG00000230546",141
"ENSG00000213262",828
"ENSG00000287015",719
"ENSG00000235526",508
"ENSG00000228347",525
"ENSG00000236012",281
"ENSG00000270911",1251
"ENSG00000134200",528
"ENSG00000065183",10276
"ENSG00000227082",4737
"ENSG00000226126",1314
"ENSG00000163393",5277
"ENSG00000163156",3264
"ENSG00000143631",12793
"ENSG00000228453",381
"ENSG00000274642",853
"ENSG00000237975",14980
"ENSG00000261168",1536
"ENSG00000287980",1348
"ENSG00000229283",476
"ENSG00000226172",653
"ENSG00000079335",6510
"ENSG00000143119",2152
"ENSG00000237278",1563
"ENSG00000233432",1548
"ENSG00000227700",517
"ENSG00000229911",680
"ENSG00000143520",9124
"ENSG00000171943",7335
"ENSG00000270719",214
"ENSG00000155761",9828
"ENSG00000230806",2649
"ENSG00000116830",10158
"ENSG00000234422",340
"ENSG00000227056",783
"ENSG00000227091",1660
"ENSG00000081026",8414
"ENSG00000224965",748
"ENSG00000228127",2428
"ENSG00000143458",9189
"ENSG00000230932",579
"ENSG00000073754",2469
"ENSG00000228826",544
"ENSG00000233907",2755
"ENSG00000225036",828
"ENSG00000228420",476
"ENSG00000233839",410
"ENSG00000250890",157
"ENSG00000232240",243
"ENSG00000230921",311
"ENSG00000286151",1095
"ENSG00000234388",301
"ENSG00000271736",1647
"ENSG00000233717",171
"ENSG00000163155",2508
"ENSG00000241975",318
"ENSG00000271143",203
"ENSG00000270976",213
"ENSG00000228217",420
"ENSG00000270342",403
"ENSG00000231100",666
"ENSG00000116824",1635
"ENSG00000235887",408
"ENSG00000237460",2185
"ENSG00000236887",434
"ENSG00000024526",5904
"ENSG00000235756",1135
"ENSG00000173810",489
"ENSG00000235005",450
"ENSG00000271890",1029
"ENSG00000227425",264
"ENSG00000225279",1687
"ENSG00000229101",345
"ENSG00000239216",410
"ENSG00000283360",863
"ENSG00000117262",5561
"ENSG00000227907",452
"ENSG00000227970",1377
"ENSG00000261055",1889
"ENSG00000231613",509
"ENSG00000137947",2524
"ENSG00000236689",677
"ENSG00000233589",960
"ENSG00000117586",3963
"ENSG00000230946",979
"ENSG00000226028",534
"ENSG00000162728",4202
"ENSG00000229021",4109
"ENSG00000203825",2594
"ENSG00000184371",5238
"ENSG00000233449",673
"ENSG00000242943",582
"ENSG00000233203",765
"ENSG00000232499",1029
"ENSG00000232265",6391
"ENSG00000163154",1158
"ENSG00000232995",3626
"ENSG00000238087",1600
"ENSG00000227777",618
"ENSG00000177173",1157
"ENSG00000238022",785
"ENSG00000231671",1238
"ENSG00000162729",2592
"ENSG00000143158",2638
"ENSG00000271092",1961
"ENSG00000238118",510
"ENSG00000276118",96
"ENSG00000232148",1370
"ENSG00000278811",5564
"ENSG00000000460",5970
"ENSG00000275075",99
"ENSG00000135862",8446
"ENSG00000232952",1779
"ENSG00000227722",1678
"ENSG00000285922",1784
"ENSG00000275801",523
"ENSG00000143198",8052
"ENSG00000143318",2157
"ENSG00000232188",575
"ENSG00000232212",451
"ENSG00000143621",2261
"ENSG00000241042",171
"ENSG00000260322",1976
"ENSG00000223495",318
"ENSG00000143156",5718
"ENSG00000198771",8165
"ENSG00000225462",1071
"ENSG00000237756",469
"ENSG00000213064",11217
"ENSG00000143179",6984
"ENSG00000271187",219
"ENSG00000274562",555
"ENSG00000143315",7038
"ENSG00000231175",2216
"ENSG00000143185",562
"ENSG00000272931",695
"ENSG00000143190",16031
"ENSG00000225475",141
"ENSG00000232223",918
"ENSG00000224698",2481
"ENSG00000075945",4978
"ENSG00000235303",1923
"ENSG00000234810",8481
"ENSG00000224468",479
"ENSG00000232551",1559
"ENSG00000092607",4344
"ENSG00000238270",414
"ENSG00000285894",1406
"ENSG00000236025",209
"ENSG00000230704",677
"ENSG00000283255",389
"ENSG00000227741",1578
"ENSG00000286754",667
"ENSG00000232751",316
"ENSG00000117091",3254
"ENSG00000235378",130
"ENSG00000143171",2691
"ENSG00000275767",1861
"ENSG00000047410",12350
"ENSG00000231992",420
"ENSG00000018625",6298
"ENSG00000171806",1575
"ENSG00000287919",2726
"ENSG00000233882",299
"ENSG00000198358",2136
"ENSG00000134216",4643
"ENSG00000230748",625
"ENSG00000254154",7841
"ENSG00000162694",4015
"ENSG00000238108",433
"ENSG00000214262",1779
"ENSG00000118197",4410
"ENSG00000135842",8330
"ENSG00000229258",1580
"ENSG00000287472",1230
"ENSG00000241318",928
"ENSG00000228238",1021
"ENSG00000232393",886
"ENSG00000184155",930
"ENSG00000058085",6770
"ENSG00000260088",736
"ENSG00000116815",1784
"ENSG00000232917",291
"ENSG00000233057",1376
"ENSG00000143167",2946
"ENSG00000143184",1227
"ENSG00000260976",1423
"ENSG00000235215",317
"ENSG00000224691",353
"ENSG00000286572",2560
"ENSG00000235101",832
"ENSG00000228215",2312
"ENSG00000177807",6252
"ENSG00000233626",386
"ENSG00000233691",590
"ENSG00000143228",3362
"ENSG00000235827",1276
"ENSG00000231615",1337
"ENSG00000231714",440
"ENSG00000174514",5790
"ENSG00000143178",3810
"ENSG00000116833",7543
"ENSG00000227740",1201
"ENSG00000000457",6883
"ENSG00000143507",2827
"ENSG00000285638",2438
"ENSG00000284592",262
"ENSG00000230987",3528
"ENSG00000232527",878
"ENSG00000215833",1540
"ENSG00000228167",442
"ENSG00000223344",780
"ENSG00000150732",228
"ENSG00000157064",6943
"ENSG00000288139",195
"ENSG00000215808",5965
"ENSG00000059588",7819
"ENSG00000237379",527
"ENSG00000232959",341
"ENSG00000122224",9118
"ENSG00000162782",4090
"ENSG00000238051",448
"ENSG00000233196",677
"ENSG00000229220",749
"ENSG00000143653",2141
"ENSG00000158711",12191
"ENSG00000227747",790
"ENSG00000228081",362
"ENSG00000228020",937
"ENSG00000234975",412
"ENSG00000162851",1784
"ENSG00000271427",575
"ENSG00000143353",2941
"ENSG00000197965",7069
"ENSG00000143493",5326
"ENSG00000230777",171
"ENSG00000179397",4431
"ENSG00000224540",1224
"ENSG00000117592",2311
"ENSG00000186197",3996
"ENSG00000229067",151
"ENSG00000227711",772
"ENSG00000261182",2277
"ENSG00000228879",322
"ENSG00000227925",819
"ENSG00000162670",4273
"ENSG00000225712",426
"ENSG00000162761",4185
"ENSG00000143199",6141
"ENSG00000007908",4586
"ENSG00000092978",8841
"ENSG00000143499",4889
"ENSG00000188404",2731
"ENSG00000227735",297
"ENSG00000143196",1719
"ENSG00000228504",382
"ENSG00000274702",274
"ENSG00000226211",357
"ENSG00000236942",353
"ENSG00000287205",951
"ENSG00000203697",5174
"ENSG00000116574",3965
"ENSG00000287929",932
"ENSG00000224896",941
"ENSG00000121481",3906
"ENSG00000227940",849
"ENSG00000143248",6624
"ENSG00000162814",6515
"ENSG00000225172",1882
"ENSG00000261642",3125
"ENSG00000228239",399
"ENSG00000237283",2157
"ENSG00000116132",8248
"ENSG00000238042",998
"ENSG00000271475",554
"ENSG00000231877",2900
"ENSG00000116679",7873
"ENSG00000228536",2837
"ENSG00000230550",1536
"ENSG00000229242",800
"ENSG00000228470",518
"ENSG00000152092",9201
"ENSG00000234984",1493
"ENSG00000231648",2664
"ENSG00000229983",510
"ENSG00000215149",1287
"ENSG00000225122",664
"ENSG00000225920",654
"ENSG00000143476",4923
"ENSG00000121486",4914
"ENSG00000228437",1366
"ENSG00000057252",7005
"ENSG00000285718",1782
"ENSG00000234070",420
"ENSG00000233620",774
"ENSG00000237783",864
"ENSG00000233018",226
"ENSG00000224783",1819
"ENSG00000162852",5933
"ENSG00000232792",469
"ENSG00000273004",752
"ENSG00000143842",7420
"ENSG00000268062",203
"ENSG00000237409",428
"ENSG00000116962",5811
"ENSG00000288078",681
"ENSG00000271399",547
"ENSG00000229757",787
"ENSG00000232679",1896
"ENSG00000220749",483
"ENSG00000181450",8915
"ENSG00000223519",3525
"ENSG00000286285",4050
"ENSG00000225300",1960
"ENSG00000223842",1126
"ENSG00000162753",5123
"ENSG00000228247",231
"ENSG00000231424",7896
"ENSG00000143355",10442
"ENSG00000287177",4401
"ENSG00000237193",202
"ENSG00000223490",400
"ENSG00000121644",4936
"ENSG00000174502",5628
"ENSG00000224286",1804
"ENSG00000158715",3752
"ENSG00000143195",13946
"ENSG00000162849",14404
"ENSG00000232824",408
"ENSG00000273416",430
"ENSG00000282111",659
"ENSG00000233410",1785
"ENSG00000067533",7877
"ENSG00000228955",222
"ENSG00000270443",195
"ENSG00000116209",9149
"ENSG00000224702",692
"ENSG00000271811",2045
"ENSG00000224278",540
"ENSG00000235492",662
"ENSG00000287808",1000
"ENSG00000229840",421
"ENSG00000226486",1393
"ENSG00000227687",230
"ENSG00000231814",1584
"ENSG00000286210",1099
"ENSG00000287364",7089
"ENSG00000260698",2968
"ENSG00000277007",2614
"ENSG00000229016",711
"ENSG00000152104",18752
"ENSG00000236975",3937
"ENSG00000286541",1531
"ENSG00000117650",3095
"ENSG00000235021",522
"ENSG00000203724",628
"ENSG00000225006",746
"ENSG00000287633",3387
"ENSG00000158764",1646
"ENSG00000223375",216
"ENSG00000230714",215
"ENSG00000261065",444
"ENSG00000260855",3472
"ENSG00000236206",2009
"ENSG00000168118",3310
"ENSG00000173726",3438
"ENSG00000282852",177
"ENSG00000152382",2900
"ENSG00000143839",1749
"ENSG00000232100",1728
"ENSG00000261024",1205
"ENSG00000230547",637
"ENSG00000176754",1987
"ENSG00000227953",4770
"ENSG00000232215",940
"ENSG00000135829",5898
"ENSG00000228289",353
"ENSG00000134717",5948
"ENSG00000232989",102
"ENSG00000233537",786
"ENSG00000116668",4068
"ENSG00000278180",776
"ENSG00000232341",1282
"ENSG00000287676",715
"ENSG00000236792",443
"ENSG00000143207",4177
"ENSG00000270859",437
"ENSG00000238224",271
"ENSG00000286775",702
"ENSG00000237492",913
"ENSG00000230404",390
"ENSG00000236230",1691
"ENSG00000026751",4833
"ENSG00000150681",2801
"ENSG00000116906",3261
"ENSG00000092969",6050
"ENSG00000157181",4073
"ENSG00000250762",266
"ENSG00000236720",1904
"ENSG00000227421",1094
"ENSG00000227240",1595
"ENSG00000076258",2542
"ENSG00000286073",1121
"ENSG00000231084",376
"ENSG00000117697",13867
"ENSG00000235083",407
"ENSG00000162669",5814
"ENSG00000132681",6271
"ENSG00000225904",703
"ENSG00000270920",209
"ENSG00000143641",7712
"ENSG00000227630",5083
"ENSG00000228830",693
"ENSG00000010932",3602
"ENSG00000282849",638
"ENSG00000226640",401
"ENSG00000010072",5906
"ENSG00000135766",5381
"ENSG00000279261",2438
"ENSG00000213051",893
"ENSG00000238054",1202
"ENSG00000163534",3950
"ENSG00000168243",5194
"ENSG00000281453",1371
"ENSG00000237469",1279
"ENSG00000224939",2270
"ENSG00000227613",964
"ENSG00000116183",10926
"ENSG00000232194",718
"ENSG00000231612",447
"ENSG00000271036",484
"ENSG00000230849",1251
"ENSG00000170382",5686
"ENSG00000226868",174
"ENSG00000279401",2336
"ENSG00000272362",526
"ENSG00000287450",138
"ENSG00000237011",850
"ENSG00000233583",1152
"ENSG00000066027",3942
"ENSG00000286263",3610
"ENSG00000227006",1325
"ENSG00000224525",766
"ENSG00000173728",1151
"ENSG00000225811",602
"ENSG00000273093",533
"ENSG00000227818",453
"ENSG00000135828",6125
"ENSG00000286398",342
"ENSG00000185523",506
"ENSG00000116711",2879
"ENSG00000226750",161
"ENSG00000285665",661
"ENSG00000231022",792
"ENSG00000224436",237
"ENSG00000228208",1242
"ENSG00000273384",577
"ENSG00000238061",973
"ENSG00000234915",387
"ENSG00000143845",4513
"ENSG00000227585",858
"ENSG00000157060",2982
"ENSG00000237213",453
"ENSG00000224260",1069
"ENSG00000213045",517
"ENSG00000230063",650
"ENSG00000235467",634
"ENSG00000123684",8790
"ENSG00000228044",2441
"ENSG00000225338",468
"ENSG00000224407",1029
"ENSG00000232463",631
"ENSG00000237457",607
"ENSG00000225171",462
"ENSG00000235386",105
"ENSG00000123836",10176
"ENSG00000213690",510
"ENSG00000229832",496
"ENSG00000225233",942
"ENSG00000237514",514
"ENSG00000287856",3690
"ENSG00000226375",690
"ENSG00000203705",3992
"ENSG00000224040",290
"ENSG00000228686",629
"ENSG00000279838",1989
"ENSG00000174175",3490
"ENSG00000236401",1259
"ENSG00000241475",933
"ENSG00000215800",484
"ENSG00000286421",1297
"ENSG00000270936",668
"ENSG00000008118",3328
"ENSG00000171161",3741
"ENSG00000241505",506
"ENSG00000282097",1257
"ENSG00000261453",2399
"ENSG00000231020",424
"ENSG00000270818",1410
"ENSG00000196878",4647
"ENSG00000225561",834
"ENSG00000074964",7954
"ENSG00000223847",493
"ENSG00000277704",557
"ENSG00000259815",285
"ENSG00000240963",642
"ENSG00000226570",759
"ENSG00000198929",7854
"ENSG00000230628",3564
"ENSG00000227579",2742
"ENSG00000174606",7317
"ENSG00000179914",1492
"ENSG00000121446",9063
"ENSG00000236905",479
