"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrich","cluster"
"hsa04911","Insulin secretion","7/152","86/8659",0.000753784007992982,0.0114682852644647,0.00867134986638543,"SLC2A1/KCNN2/CACNA1C/CACNA1D/RYR2/ATP1B2/KCNN1",7,4.63685740514076,"T12"
"hsa04724","Glutamatergic synapse","8/152","115/8659",0.000908154489278232,0.0119446814666428,0.00903156048626808,"PLA2G4F/GRIA3/CACNA1C/PLA2G4E/CACNA1D/GRIN1/GRIA1/GRIK2",8,3.9629290617849,"T12"
"hsa04727","GABAergic synapse","7/152","89/8659",0.000925246689200158,0.0119446814666428,0.00903156048626808,"GABRE/CACNA1B/CACNA1C/GABRB3/GABRP/CACNA1D/GABRR1",7,4.48055884092253,"T12"
"hsa00592","alpha-Linolenic acid metabolism","4/152","26/8659",0.00100983703213193,0.0119446814666428,0.00903156048626808,"PLA2G2F/PLA2G4F/FADS2/PLA2G4E",4,8.76417004048583,"T12"
"hsa05032","Morphine addiction","7/152","91/8659",0.00105567164149733,0.0119446814666428,0.00903156048626808,"GABRE/CACNA1B/GABRB3/GABRP/PDE7B/GABRR1/PDE10A",7,4.38208502024291,"T12"
"hsa04723","Retrograde endocannabinoid signaling","9/152","148/8659",0.00114975761413362,0.0119446814666428,0.00903156048626808,"GABRE/GRIA3/CACNA1B/CACNA1C/GABRB3/GABRP/CACNA1D/GABRR1/GRIA1",9,3.46421586059744,"T12"
"hsa00830","Retinol metabolism","6/152","68/8659",0.00118387421796035,0.0119446814666428,0.00903156048626808,"RDH12/ALDH1A3/ALDH1A1/DHRS3/ADH1C/CYP2W1",6,5.0265092879257,"T12"
"hsa04930","Type II diabetes mellitus","5/152","46/8659",0.00119761428948951,0.0119446814666428,0.00903156048626808,"HK2/CACNA1G/CACNA1B/CACNA1C/CACNA1D",5,6.1920766590389,"T12"
"hsa05031","Amphetamine addiction","6/152","69/8659",0.00127814678743966,0.0119446814666428,0.00903156048626808,"GRIA3/CACNA1C/CACNA1D/GRIN1/MAOB/GRIA1",6,4.95366132723112,"T12"
"hsa04973","Carbohydrate digestion and absorption","5/152","47/8659",0.00132148101591004,0.0119446814666428,0.00903156048626808,"HK2/SLC5A1/CACNA1D/AMY2B/ATP1B2",5,6.06033034714446,"T12"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","4/152","28/8659",0.00134587960187524,0.0119446814666428,0.00903156048626808,"FUT2/FUT3/B4GALNT2/FUT6",4,8.13815789473684,"T12"
"hsa04713","Circadian entrainment","7/152","97/8659",0.00153535210448569,0.0125780768559789,0.00951048064721906,"CACNA1G/GRIA3/CACNA1C/CACNA1D/RYR2/GRIN1/GRIA1",7,4.11102821486706,"T12"
"hsa05410","Hypertrophic cardiomyopathy","7/152","97/8659",0.00153535210448569,0.0125780768559789,0.00951048064721906,"ATP2A3/ITGB3/CACNA1C/CACNA1D/RYR2/CACNG7/CACNA2D1",7,4.11102821486706,"T12"
"hsa00565","Ether lipid metabolism","5/152","50/8659",0.00174998646663777,0.0133357858479789,0.0100833962675601,"PLA2G2F/PLA2G4F/GDPD3/ENPP2/PLA2G4E",5,5.69671052631579,"T12"
"hsa00591","Linoleic acid metabolism","4/152","30/8659",0.00175306105043855,0.0133357858479789,0.0100833962675601,"PLA2G2F/PLA2G4F/PLA2G4E/ALOX15",4,7.59561403508772,"T12"
"hsa03320","PPAR signaling pathway","6/152","75/8659",0.00196993413293468,0.0141189218017125,0.0106755376113764,"ACSL1/HMGCS2/ACSL5/SLC27A2/FADS2/FABP4",6,4.55736842105263,"T12"
"hsa04024","cAMP signaling pathway","11/152","225/8659",0.00198858053545246,0.0141189218017125,0.0106755376113764,"GRIA3/ATP2A3/CACNA1C/LIPE/CACNA1D/RYR2/GRIN1/CNGA1/ATP1B2/GRIA1/PDE10A",11,2.78505847953216,"T12"
"hsa05414","Dilated cardiomyopathy","7/152","103/8659",0.00217023610107879,0.0149116222428962,0.011274910813754,"ATP2A3/ITGB3/CACNA1C/CACNA1D/RYR2/CACNG7/CACNA2D1",7,3.87155084312724,"T12"
"hsa00430","Taurine and hypotaurine metabolism","3/152","16/8659",0.00251092892128235,0.0167133706322856,0.0126372409525066,"FMO3/FMO2/GGT6",3,10.6813322368421,"T12"
"hsa00983","Drug metabolism - other enzymes","6/152","80/8659",0.00273675876840556,0.0176645338687995,0.0133564303529841,"TYMP/MGST1/CES1/GSTA1/GSTM5/UPP2",6,4.27253289473684,"T12"
"hsa04066","HIF-1 signaling pathway","7/152","109/8659",0.00299142529171094,0.0187403996216009,0.0141699092765255,"ENO2/HK2/PDK1/EGLN3/ALDOC/SLC2A1/TF",7,3.65843795267986,"T12"
"hsa01212","Fatty acid metabolism","5/152","57/8659",0.00313508596848826,0.0190792374653714,0.0144261098700362,"ACSL1/FADS1/ACSL5/FADS2/ELOVL3",5,4.99711449676824,"T12"
"hsa00500","Starch and sucrose metabolism","4/152","36/8659",0.00347337439098326,0.0205507984799843,0.0155387801701883,"HK2/PGM2L1/AMY2B/ENPP3",4,6.3296783625731,"T12"
"hsa04960","Aldosterone-regulated sodium reabsorption","4/152","37/8659",0.0038419894630809,0.0221173988009792,0.0167233111764261,"SCNN1B/SCNN1A/SCNN1G/ATP1B2",4,6.15860597439545,"T12"
"hsa04929","GnRH secretion","5/152","64/8659",0.00517664210675761,0.029016441282615,0.0219397851062026,"CACNA1G/KCNN2/CACNA1C/CACNA1D/KCNN1",5,4.45055509868421,"T12"
"hsa00380","Tryptophan metabolism","4/152","42/8659",0.00608550143750764,0.0324730745970072,0.0245533996211619,"IDO1/AOC1/ALDH2/MAOB",4,5.42543859649123,"T12"
"hsa04148","Efferocytosis","8/152","156/8659",0.00609822997126897,0.0324730745970072,0.0245533996211619,"SLC2A1/ATP2A3/ABCA1/ALOX5/ITGB3/ATP8A2/SLC16A1/ALOX15",8,2.92139001349528,"T12"
"hsa00071","Fatty acid degradation","4/152","43/8659",0.00661967969911365,0.0343900433149075,0.0260028496524875,"ACSL1/ACSL5/ADH1C/ALDH2",4,5.29926560587515,"T12"
"hsa04972","Pancreatic secretion","6/152","102/8659",0.00896145971560416,0.0454474028434211,0.0343634921425423,"PLA2G2F/ATP2A3/CLCA4/RYR2/AMY2B/ATP1B2",6,3.35100619195046,"T12"
"hsa04726","Serotonergic synapse","9/82","115/8659",1.22169501977215e-06,0.000156795656046725,0.000133801096370992,"CYP4X1/ALOX5/KCNN2/GABRB3/CACNA1C/ALOX12B/PLA2G4E/CYP2C18/ALOX15",9,8.26415694591729,"T13"
"hsa00590","Arachidonic acid metabolism","7/82","61/8659",1.52228792278374e-06,0.000156795656046725,0.000133801096370992,"PLA2G2F/ALOX5/CYP4F8/ALOX12B/PLA2G4E/ALOX15/GGT5",7,12.1177528988405,"T13"
"hsa05033","Nicotine addiction","5/82","40/8659",3.41671835229804e-05,0.0019437914215067,0.00165872849970168,"GABRE/GRIA3/GABRB3/GABRP/GRIN1",5,13.1996951219512,"T13"
"hsa00010","Glycolysis / Gluconeogenesis","6/82","67/8659",3.7743522747703e-05,0.0019437914215067,0.00165872849970168,"ALDH2/ADH1C/FBP1/PGK1/ADH7/ENO2",6,9.4564979978158,"T13"
"hsa00982","Drug metabolism - cytochrome P450","6/82","72/8659",5.69087599264328e-05,0.00234464090896903,0.00200079219109774,"FMO3/ADH1C/MGST1/FMO2/ADH7/GSTM5",6,8.79979674796748,"T13"
"hsa00330","Arginine and proline metabolism","5/82","50/8659",0.000102163410943679,0.00350761044239966,0.00299320870659552,"P4HA1/ALDH2/GATM/AOC1/CNDP1",5,10.559756097561,"T13"
"hsa00430","Taurine and hypotaurine metabolism","3/82","16/8659",0.000419403743127939,0.0123424530120508,0.0105323947522355,"FMO3/FMO2/GGT5",3,19.7995426829268,"T13"
"hsa03320","PPAR signaling pathway","5/82","75/8659",0.000691863465925069,0.0146464821735475,0.0124985310321023,"HMGCS2/SLC27A2/ACSL5/CYP27A1/GK",5,7.03983739837398,"T13"
"hsa00071","Fatty acid degradation","4/82","43/8659",0.000696209221302538,0.0146464821735475,0.0124985310321023,"ALDH2/ADH1C/ACSL5/ADH7",4,9.8230289279637,"T13"
"hsa00531","Glycosaminoglycan degradation","3/82","19/8659",0.000710994280269294,0.0146464821735475,0.0124985310321023,"HPSE/HPSE2/HYAL1",3,16.6732991014121,"T13"
"hsa00340","Histidine metabolism","3/82","22/8659",0.0011070605186435,0.0207322242582328,0.0176917805371736,"ALDH2/AOC1/CNDP1",3,14.399667405765,"T13"
"hsa04713","Circadian entrainment","5/82","97/8659",0.00219705218193462,0.0377160624565442,0.032184887226586,"CACNA1G/GRIA3/CACNA1C/GRIN1/RYR2",5,5.44317324616545,"T13"
"hsa00591","Linoleic acid metabolism","3/82","30/8659",0.00276386108176139,0.0437965679109882,0.0373736680691621,"PLA2G2F/PLA2G4E/ALOX15",3,10.559756097561,"T13"
"hsa00590","Arachidonic acid metabolism","9/60","61/8659",2.58768188428602e-10,4.58019693518625e-08,3.48656085461695e-08,"CYP4F2/ALOX12B/PLA2G4F/PLA2G4E/ALOX15/PLA2G4D/PLA2G2F/CYP4F8/CYP4F3",9,21.2926229508197,"T15"
"hsa04726","Serotonergic synapse","8/60","115/8659",1.09076314084167e-06,9.65325379644879e-05,7.34829905409126e-05,"ALOX12B/PLA2G4F/PLA2G4E/ALOX15/KCNN2/PLA2G4D/CYP2C18/CACNA1C",8,10.0394202898551,"T15"
"hsa00591","Linoleic acid metabolism","5/60","30/8659",1.68218093008438e-06,9.92486748749784e-05,7.55505821230879e-05,"PLA2G4F/PLA2G4E/ALOX15/PLA2G4D/PLA2G2F",5,24.0527777777778,"T15"
"hsa00592","alpha-Linolenic acid metabolism","4/60","26/8659",2.77879889992795e-05,0.00122961851321812,0.000936016471554677,"PLA2G4F/PLA2G4E/PLA2G4D/PLA2G2F",4,22.2025641025641,"T15"
"hsa00330","Arginine and proline metabolism","4/60","50/8659",0.000378135406750876,0.0111549944991508,0.00849146176563371,"ALDH2/NOS3/NOS1/AOC1",4,11.5453333333333,"T15"
"hsa00565","Ether lipid metabolism","4/60","50/8659",0.000378135406750876,0.0111549944991508,0.00849146176563371,"PLA2G4F/PLA2G4E/PLA2G4D/PLA2G2F",4,11.5453333333333,"T15"
"hsa04921","Oxytocin signaling pathway","6/60","154/8659",0.000650907488678086,0.0149550508867644,0.0113841600565319,"PIK3CG/PLA2G4F/NOS3/PLA2G4E/PLA2G4D/CACNA1C",6,5.62272727272727,"T15"
"hsa04370","VEGF signaling pathway","4/60","59/8659",0.000713397567910219,0.0149550508867644,0.0113841600565319,"PLA2G4F/NOS3/PLA2G4E/PLA2G4D",4,9.78418079096045,"T15"
"hsa04730","Long-term depression","4/60","60/8659",0.000760426316276156,0.0149550508867644,0.0113841600565319,"PLA2G4F/PLA2G4E/PLA2G4D/NOS1",4,9.62111111111111,"T15"
"hsa04724","Glutamatergic synapse","5/60","115/8659",0.00115575357385978,0.0196102144994135,0.0149277874274453,"PLA2G4F/PLA2G4E/PLA2G4D/GRIN1/CACNA1C",5,6.27463768115942,"T15"
"hsa00830","Retinol metabolism","4/60","68/8659",0.00121871389544378,0.0196102144994135,0.0149277874274453,"DHRS9/CYP2W1/CYP2C18/RDH12",4,8.48921568627451,"T15"
"hsa04611","Platelet activation","5/60","124/8659",0.00161695455144627,0.0234631240934077,0.0178607189054783,"PIK3CG/PLA2G4F/NOS3/PLA2G4E/PLA2G4D",5,5.81922043010753,"T15"
"hsa04020","Calcium signaling pathway","7/60","253/8659",0.00172328030064576,0.0234631240934077,0.0178607189054783,"NOS3/CACNA1H/GRIN1/NOS1/CHRNA7/ATP2B2/CACNA1C",7,3.9929512516469,"T15"
"hsa04270","Vascular smooth muscle contraction","5/60","134/8659",0.00227467975178256,0.0287584511475367,0.0218916547539976,"PLA2G4F/PLA2G4E/PLA2G4D/PLA2G2F/CACNA1C",5,5.38495024875622,"T15"
"hsa05033","Nicotine addiction","3/60","40/8659",0.00260452900581627,0.030733442268632,0.0233950675610164,"GABRE/GRIN1/CHRNA7",3,10.82375,"T15"
"hsa04912","GnRH signaling pathway","4/60","93/8659",0.00384275573194004,0.0425104852845867,0.0323600482689687,"PLA2G4F/PLA2G4E/PLA2G4D/CACNA1C",4,6.20716845878136,"T15"
"hsa04713","Circadian entrainment","4/60","97/8659",0.00446764223841535,0.0425188458478957,0.0323664125395816,"CACNA1H/GRIN1/NOS1/CACNA1C",4,5.95120274914089,"T15"
"hsa04750","Inflammatory mediator regulation of TRP channels","4/60","98/8659",0.00463395098627398,0.0425188458478957,0.0323664125395816,"IL1B/PLA2G4F/PLA2G4E/PLA2G4D",4,5.89047619047619,"T15"
"hsa04217","Necroptosis","5/60","159/8659",0.00474786778416103,0.0425188458478957,0.0323664125395816,"IL1B/PLA2G4F/PLA2G4E/ALOX15/PLA2G4D",5,4.53825995807128,"T15"
"hsa00564","Glycerophospholipid metabolism","4/60","99/8659",0.00480438936134415,0.0425188458478957,0.0323664125395816,"PLA2G4F/PLA2G4E/PLA2G4D/PLA2G2F",4,5.83097643097643,"T15"
"hsa04913","Ovarian steroidogenesis","3/60","51/8659",0.00520179321482356,0.0438436856677985,0.0333749138595196,"PLA2G4F/PLA2G4E/PLA2G4D",3,8.48921568627451,"T15"
"hsa00600","Sphingolipid metabolism","3/60","54/8659",0.0061054637327329,0.0491212309406238,0.0373923137698474,"SGPP2/DEGS2/SMPD3",3,8.01759259259259,"T15"
"hsa00590","Arachidonic acid metabolism","7/28","61/8659",6.37355351367092e-10,6.11861137312408e-08,5.03175277395073e-08,"ALOX12B/PLA2G4E/PLA2G2F/ALOX15/CYP4F2/ALOX15B/ALOX5",7,35.4877049180328,"T16"
"hsa04726","Serotonergic synapse","5/28","115/8659",2.91561979097724e-05,0.00139949749966908,0.00115090254906996,"ALOX12B/PLA2G4E/ALOX15/ALOX15B/ALOX5",5,13.445652173913,"T16"
"hsa00591","Linoleic acid metabolism","3/28","30/8659",0.000115973466436487,0.00371115092596758,0.00305193332727597,"PLA2G4E/PLA2G2F/ALOX15",3,30.925,"T16"
"hsa00380","Tryptophan metabolism","3/28","42/8659",0.000319516546942838,0.00766839712662812,0.00630624763702971,"ALDH2/AOC1/IL4I1",3,22.0892857142857,"T16"
"hsa00330","Arginine and proline metabolism","3/28","50/8659",0.000536155863557874,0.0102941925803112,0.00846561889828222,"ALDH2/PRODH/AOC1",3,18.555,"T16"
"hsa00340","Histidine metabolism","2/28","22/8659",0.00223803677008344,0.0358085883213351,0.02944785223794,"ALDH2/AOC1",2,28.1136363636364,"T16"
"hsa00592","alpha-Linolenic acid metabolism","2/28","26/8659",0.00312370007094529,0.0428393152586782,0.0352297000482551,"PLA2G4E/PLA2G2F",2,23.7884615384615,"T16"
