"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","ENSEMBL","ENTREZID"
"70","DUOX2",226.601903587281,1.7947024728342,0.216482186238979,8.29030094352889,1.12962291385143e-16,7.85175357240818e-15,"up","ENSG00000140279",50506
"71","HMGCS2",185.318643883334,2.93227195329612,0.354221453654165,8.27807554581086,1.2518180667963e-16,8.59466893505925e-15,"up","ENSG00000134240",3158
"72","SCNN1A",360.020287669265,1.88475354610443,0.227672580042088,8.27835106781857,1.24892570094319e-16,8.59466893505925e-15,"up","ENSG00000111319",6337
"73","ACSL5",97.0560279306589,2.71314437451225,0.330044436256554,8.22054267990518,2.02584374880945e-16,1.33771229425062e-14,"up","ENSG00000197142",51703
"74","SLC38A2",11921.6593959425,-0.926484556714835,0.112911317318056,-8.20541801053525,2.29789963585344e-16,1.5084837638756e-14,"none","ENSG00000134294",54407
"75","SLC9A4",40.9844667330013,2.79795288391622,0.341005448771447,8.20500931582327,2.30573007145245e-16,1.50921124880988e-14,"up","ENSG00000180251",389015
"76","CERS4",724.265900838114,0.924226343794795,0.115466950008595,8.00425007957686,1.20196900855949e-15,7.31311821440898e-14,"none","ENSG00000090661",79603
"77","FUT11",564.782687029873,-1.41932536779567,0.177805518529362,-7.98245959706415,1.43445768564453e-15,8.56516210117164e-14,"none","ENSG00000196968",170384
"78","ASIC1",189.135482534005,1.7541803725881,0.222134600490246,7.89692541691685,2.85867309806877e-15,1.65412550836964e-13,"up","ENSG00000110881",41
"79","LOX",325.521663943322,-2.45660474387041,0.31216919958275,-7.86946549228413,3.56159633025361e-15,2.01922725279101e-13,"down","ENSG00000113083",4015
"80","LDHA",37692.8305308322,-1.0957513601345,0.140381967087596,-7.80549940186238,5.92663852080048e-15,3.28540645507387e-13,"none","ENSG00000134333",3939
"81","LDHA",37692.8305308322,-1.0957513601345,0.140381967087596,-7.80549940186238,5.92663852080048e-15,3.28540645507387e-13,"none","ENSG00000288299",3939
"82","SLC4A11",1151.52166547076,1.66140754701917,0.214684682947418,7.73882665595705,1.0033847024609e-14,5.40215586449634e-13,"up","ENSG00000088836",83959
"83","B4GALNT2",49.6116134414891,3.11195815435732,0.40438106631893,7.69560796375902,1.40822966075595e-14,7.49198201744829e-13,"up","ENSG00000167080",124872
"84","FOLR1",348.202899247871,2.42972013843405,0.318251019913054,7.63460283363065,2.2651762750657e-14,1.17994135850348e-12,"up","ENSG00000110195",2348
"85","GRIA3",83.8468710712369,3.40725607368804,0.448537092132963,7.59637526850958,3.04540556299672e-14,1.56458581910388e-12,"up","ENSG00000125675",2892
"86","COMTD1",685.622754889542,0.948981669524656,0.125175550785772,7.58120626246544,3.42356808826025e-14,1.75085483256334e-12,"none","ENSG00000165644",118881
"87","KDM3A",2354.52168966083,-0.974054018157019,0.129404102427763,-7.52722672529461,5.18293304900524e-14,2.61487707602734e-12,"none","ENSG00000115548",55818
"88","CA12",4421.81246547814,-1.37701037251777,0.183108671698344,-7.52018110199761,5.47004186255763e-14,2.72906466347292e-12,"none","ENSG00000074410",771
"89","SLC25A23",131.669445784518,1.89331556025151,0.253352153225234,7.47305888720168,7.83517628081819e-14,3.85762155001424e-12,"up","ENSG00000125648",79085
"90","ASPG",284.791309170955,1.80889216364903,0.245105824004258,7.38004562314114,1.5823530015888e-13,7.44767447351573e-12,"up","ENSG00000166183",374569
"91","APOBR",39.4539630246692,2.56543614394082,0.348124259889756,7.36931159222642,1.7151136681458e-13,8.03883443915266e-12,"up","ENSG00000184730",55911
"92","ALDH1A1",742.999471653904,1.98915868064915,0.27008745630577,7.36486880159735,1.77321173464752e-13,8.276585583071e-12,"up","ENSG00000165092",216
"93","TRPV6",78.2547779230854,2.19888631632914,0.302534971245895,7.26820541530693,3.64294547718657e-13,1.60683239505532e-11,"up","ENSG00000165125",55503
"94","TRPV6",78.2547779230854,2.19888631632914,0.302534971245895,7.26820541530693,3.64294547718657e-13,1.60683239505532e-11,"up","ENSG00000276971",55503
"95","FTCD",78.4177557124705,-1.96347240385383,0.27050169146533,-7.25863262894048,3.91022869689934e-13,1.70794833607173e-11,"down","ENSG00000160282",10841
"96","FTCD",78.4177557124705,-1.96347240385383,0.27050169146533,-7.25863262894048,3.91022869689934e-13,1.70794833607173e-11,"down","ENSG00000281775",10841
"97","KCTD12",1155.42254626209,-0.952718996817629,0.131391625568754,-7.25098721241634,4.13744749748888e-13,1.796708583484e-11,"none","ENSG00000178695",115207
"98","EPHX1",1311.32968512122,0.90341452559854,0.124690163404222,7.2452750155587,4.3156260739026e-13,1.86327155740745e-11,"none","ENSG00000143819",2052
"99","ATP2A3",136.804625168537,1.55369940266227,0.214491540027652,7.24363955082783,4.36801351730361e-13,1.88227008593058e-11,"up","ENSG00000074370",489
"100","GPX8",296.628014785368,-1.25617769627507,0.174218559518243,-7.21035519837101,5.5806112714436e-13,2.37292241771175e-11,"none","ENSG00000164294",493869
"101","HS3ST3B1",50.430428369396,2.40753366374387,0.334757877073721,7.19186560982307,6.39119238686925e-13,2.6770272439851e-11,"up","ENSG00000125430",9953
"102","SQLE",3193.20309744534,-1.24880483601084,0.174259815326143,-7.16633857136588,7.70301328993982e-13,3.18493202010289e-11,"none","ENSG00000104549",6713
"103","ABCA1",1002.63459619669,1.72912194857724,0.243423449525232,7.1033499523143,1.21768542951118e-12,4.96051211884446e-11,"up","ENSG00000165029",19
"104","ALOX5",35.9031189695368,3.27945998293253,0.461692305762634,7.10312894973513,1.21963506730308e-12,4.96051211884446e-11,"up","ENSG00000012779",240
"105","ALOX5",35.9031189695368,3.27945998293253,0.461692305762634,7.10312894973513,1.21963506730308e-12,4.96051211884446e-11,"up","ENSG00000275565",240
"106","PGAM1",7731.60743461708,-1.06297854934163,0.151091087595869,-7.03534911460057,1.98762702042228e-12,7.87023178756623e-11,"none","ENSG00000171314",5223
"107","SLC27A2",91.5308087637995,1.89673704469197,0.270069221347297,7.0231514543927,2.16918848039809e-12,8.57402298827774e-11,"up","ENSG00000140284",11001
"108","ACAT2",928.971065048262,-1.49114116219713,0.213264954280398,-6.99196531014,2.71061914283093e-12,1.060210982155e-10,"none","ENSG00000120437",39
"109","SLC35C1",1692.3122839894,0.721907580592577,0.103518431379015,6.97371058444114,3.08688798440244e-12,1.19695547733712e-10,"none","ENSG00000181830",55343
"110","FBP1",24.7606297861084,3.20277623305478,0.460383008564337,6.95676463612841,3.48175912914353e-12,1.34310952248112e-10,"up","ENSG00000165140",2203
"111","PFKFB3",1794.61326717769,-1.18090623484546,0.170077479256307,-6.94334276359913,3.8292878242023e-12,1.46708772937143e-10,"none","ENSG00000170525",5209
"112","SLC5A1",87.6197537804552,1.86216381792196,0.268433858082845,6.93714209981384,4.0011132795314e-12,1.52511025872257e-10,"up","ENSG00000100170",6523
"113","CSGALNACT1",327.611033375783,1.09105643980347,0.15733077389326,6.93479357410201,4.06814751367662e-12,1.54803355643311e-10,"none","ENSG00000147408",55790
"114","ATP13A5",29.1467195383745,4.00746373578308,0.579172481265456,6.919292379063,4.53905188261159e-12,1.71848657363428e-10,"up","ENSG00000187527",344905
"115","CYB5R1",2421.01090013482,0.925767453033074,0.134439407708253,6.88613159500139,5.73299615709855e-12,2.13887179908508e-10,"none","ENSG00000159348",51706
"116","KCNN2",18.3716122935859,4.54784173730511,0.663714645605594,6.85210393866707,7.27716487293239e-12,2.68716494345732e-10,"up","ENSG00000080709",3781
"117","ACSS1",374.011817376438,1.53634759622252,0.224305227774251,6.8493615216528,7.418031613422e-12,2.73468354274117e-10,"up","ENSG00000154930",84532
"118","PLOD2",1590.43369582954,-1.55550753036331,0.227538860209536,-6.83622801367147,8.13055004884001e-12,2.96811348205703e-10,"down","ENSG00000152952",5352
"119","KCNK12",31.8391629322378,2.9266473893219,0.429269315372326,6.81774188025406,9.24826119222374e-12,3.34870888412601e-10,"up","ENSG00000184261",56660
"120","TXNIP",2146.65403840447,1.17856733519958,0.173094408803532,6.80881227386897,9.84077887458277e-12,3.53496522421212e-10,"none","ENSG00000265972",10628
"121","GDPD3",109.574997736466,1.66204958845158,0.244297468481092,6.80338440993801,1.02189488457009e-11,3.65910080597815e-10,"up","ENSG00000102886",79153
"122","GAPDH",66865.5831860157,-0.943441761273047,0.140051372014591,-6.73639784960306,1.62361343089014e-11,5.68669970934703e-10,"none","ENSG00000111640",2597
"123","AOC1",476.980691560574,6.11105711703148,0.915117771113659,6.67789142548787,2.42404510897494e-11,8.32192879828151e-10,"up","ENSG00000002726",26
"124","KCTD11",2492.16531221803,-1.23065921002757,0.184279046515429,-6.67823734330281,2.41833168285137e-11,8.32192879828151e-10,"none","ENSG00000213859",147040
"125","KCTD11",2492.16531221803,-1.23065921002757,0.184279046515429,-6.67823734330281,2.41833168285137e-11,8.32192879828151e-10,"none","ENSG00000288399",147040
"126","CYP4F22",47.2110546665099,2.82027297832351,0.423151937733964,6.66491802785177,2.64813116896695e-11,9.06298671867028e-10,"up","ENSG00000171954",126410
"127","DHRS3",615.29772352593,1.98270473221276,0.298073729202558,6.65172585828722,2.89675891053325e-11,9.8538082273306e-10,"up","ENSG00000162496",9249
"128","CYP4F3",61.5786239739844,2.31501801156826,0.349298054722131,6.62762927039452,3.41120871047421e-11,1.14648273591103e-09,"up","ENSG00000186529",4051
"129","HS3ST6",121.724508373524,1.79999591333876,0.273455123702623,6.58241794473092,4.62858265701779e-11,1.53495286902077e-09,"up","ENSG00000162040",64711
"130","HS3ST6",121.724508373524,1.79999591333876,0.273455123702623,6.58241794473092,4.62858265701779e-11,1.53495286902077e-09,"up","ENSG00000276333",64711
"131","PGK1",17201.6500706148,-1.41525768426906,0.215035425326398,-6.58150945185366,4.65695897239523e-11,1.54208533759949e-09,"none","ENSG00000102144",5230
"132","GATM",38.0868740775859,2.47313514671391,0.377443836629813,6.55232621837589,5.6647623854291e-11,1.85123115451628e-09,"up","ENSG00000171766",2628
"133","NT5E",4986.18731504086,-1.21025736216425,0.184835967489501,-6.54773731867421,5.84153489175093e-11,1.89794934666715e-09,"none","ENSG00000135318",4907
"134","PSPH",509.690103868321,-1.02314592738117,0.156529723438392,-6.53643221815228,6.30036714692062e-11,2.04111894394682e-09,"none","ENSG00000146733",5723
"135","FADS2",108.399017294852,-1.79918574708681,0.277820128829273,-6.47608132163978,9.41353262791205e-11,2.97666508491906e-09,"down","ENSG00000134824",9415
"136","CATSPER1",125.608425650388,-1.44536986805571,0.223806660240108,-6.45811821017775,1.06012921547003e-10,3.32880573657591e-09,"none","ENSG00000175294",117144
"137","SCNN1G",33.3367693164149,2.7866393219466,0.43196175717356,6.45112507222937,1.11022824018775e-10,3.46672242287277e-09,"up","ENSG00000166828",6340
"138","ATP10B",22.3513296101856,3.75639492928152,0.583181922607397,6.44120605194128,1.18527825418992e-10,3.68059226622654e-09,"up","ENSG00000118322",23120
"139","SLC9A8",983.749574738737,1.04551571835071,0.162359812428465,6.43949819054733,1.19869144638586e-10,3.71710243961449e-09,"none","ENSG00000197818",23315
"140","ELOVL3",64.4411044010819,1.55955236533198,0.24222632870452,6.43840978671809,1.20731683127426e-10,3.73868554192254e-09,"up","ENSG00000119915",83401
"141","CYP1B1",152.243579805182,1.27469274598786,0.198065875979374,6.43570094891359,1.22904806840241e-10,3.79551006653405e-09,"none","ENSG00000138061",1545
"142","INPP4B",556.64453658649,-0.886537569482503,0.137931345135289,-6.42738290279814,1.29819526770317e-10,3.98406335057674e-09,"none","ENSG00000109452",8821
"143","SCD",4976.58995015682,-1.11351261998765,0.173247573089143,-6.42729130418874,1.29897749437538e-10,3.98406335057674e-09,"none","ENSG00000099194",6319
"144","STARD4",245.045760115906,-1.61023142444591,0.251385422299724,-6.40542880217633,1.49947347313876e-10,4.54314155808884e-09,"down","ENSG00000164211",134429
"145","AQP3",5535.29502904525,1.20419417952716,0.188588076987782,6.38531448414514,1.71045588719903e-10,5.1684313759765e-09,"none","ENSG00000165272",360
"146","NUDT11",219.876214226696,-1.11805299575826,0.176048516656122,-6.35082315372283,2.14165803964841e-10,6.39393146916841e-09,"none","ENSG00000196368",55190
"147","CRYZ",618.984716549693,-0.894389514458995,0.140939853002145,-6.34589504251424,2.21135965691297e-10,6.57579280229844e-09,"none","ENSG00000116791",1429
"148","SC5D",817.993141500005,-0.756081172035595,0.119157638233298,-6.34521784122026,2.22110929661995e-10,6.59604825640402e-09,"none","ENSG00000109929",6309
"149","SLC24A3",113.290370876118,2.35821511523348,0.372202127207671,6.33584534544508,2.3604346730061e-10,6.99130855457257e-09,"up","ENSG00000185052",57419
"150","TMCO3",1212.25835909204,-0.954255582554018,0.150747609868276,-6.3301539798067,2.44916664009725e-10,7.23503161010832e-09,"none","ENSG00000150403",55002
"151","ECHDC2",611.230624987152,0.988309676014631,0.156829600516589,6.30180573539171,2.9419776556994e-10,8.60030473282645e-09,"none","ENSG00000121310",55268
"152","FDFT1",3925.88411446465,-0.899600088967998,0.143229121369178,-6.2808462438951,3.36735042806204e-10,9.75488831747366e-09,"none","ENSG00000079459",2222
"153","FDFT1",3925.88411446465,-0.899600088967998,0.143229121369178,-6.2808462438951,3.36735042806204e-10,9.75488831747366e-09,"none","ENSG00000284967",2222
"154","SLC8B1",996.755885898639,0.802017437269226,0.128653390785089,6.23393936510361,4.54849198125298e-10,1.29756281411831e-08,"none","ENSG00000089060",80024
"155","ITGB3",99.3221104684393,1.9682558956326,0.31580817773579,6.23244119181508,4.59221956683369e-10,1.30671636875771e-08,"up","ENSG00000259207",3690
"156","CES1",189.684809014506,2.01466971329039,0.325789869449627,6.18395445105114,6.2515412720813e-10,1.74786242963259e-08,"up","ENSG00000198848",1066
"157","CES1",189.684809014506,2.01466971329039,0.325789869449627,6.18395445105114,6.2515412720813e-10,1.74786242963259e-08,"up","ENSG00000262243",1066
"158","SLC39A11",1178.6415423515,0.793979028014033,0.128621031855011,6.17301087204036,6.70016026608618e-10,1.86400617266296e-08,"none","ENSG00000133195",201266
"159","SLC39A11",1178.6415423515,0.793979028014033,0.128621031855011,6.17301087204036,6.70016026608618e-10,1.86400617266296e-08,"none","ENSG00000282291",201266
"160","APOE",129.222167609482,1.61879535857661,0.262620013631382,6.16402130284244,7.09203957086734e-10,1.96329692238647e-08,"up","ENSG00000130203",348
"161","CAV1",12998.5355257766,-1.00572217854498,0.164232465266342,-6.12377203809224,9.13856186887048e-10,2.48992539463606e-08,"none","ENSG00000105974",857
"162","FLVCR2",264.549300452782,0.984645286116593,0.160870082196558,6.12074832480977,9.31369111493907e-10,2.53149732713677e-08,"none","ENSG00000119686",55640
"163","CYP4F8",22.2632569463177,4.48216302661748,0.732798268792818,6.11650329633176,9.56509092975091e-10,2.59042046397874e-08,"up","ENSG00000186526",11283
"164","DTYMK",1127.93977205809,-0.829274301432292,0.13649201099668,-6.07562519869726,1.23505574771919e-09,3.29313973777239e-08,"none","ENSG00000168393",1841
"165","CACNA1B",68.2963023145778,-2.70798119451538,0.449595735365256,-6.02314697739602,1.71057971956365e-09,4.48123982309493e-08,"down","ENSG00000148408",774
"166","ATP10D",1056.06448661729,-0.792544252822464,0.13177790907217,-6.01424213210436,1.80730205337499e-09,4.7181091163165e-08,"none","ENSG00000145246",57205
"167","SOD3",229.12503728565,1.39462438567702,0.233094657153709,5.9830817347193,2.18954822960575e-09,5.65029279343434e-08,"none","ENSG00000109610",6649
"168","GLT8D2",68.3497764744017,-2.01326261836748,0.337413351173371,-5.96675446115651,2.42019183174321e-09,6.22389938604118e-08,"down","ENSG00000120820",83468
"169","STRA6",169.041218059477,4.0562640378764,0.67998436497573,5.96523133001914,2.44287697862506e-09,6.26800354824128e-08,"up","ENSG00000137868",64220
"170","STRA6",169.041218059477,4.0562640378764,0.67998436497573,5.96523133001914,2.44287697862506e-09,6.26800354824128e-08,"up","ENSG00000288257",64220
"171","ELOVL5",2962.2831953325,-0.96786180733748,0.164294980595302,-5.8910004665423,3.83864471114425e-09,9.54389949168324e-08,"none","ENSG00000012660",60481
"172","ENPP2",61.6118500181524,2.18764017859803,0.372870664028325,5.86702143570042,4.43693333309112e-09,1.09345324106727e-07,"up","ENSG00000136960",5168
"173","TM7SF2",407.503626700188,1.12291068971253,0.191448747158051,5.86533318384951,4.48231707454765e-09,1.10221796977732e-07,"none","ENSG00000149809",7108
"174","ALDH3B1",292.053637387613,1.28090462023701,0.218695520005154,5.85702267795346,4.71238798758825e-09,1.15626035747917e-07,"none","ENSG00000006534",221
"175","GPX3",5643.97585046199,-0.794432178156238,0.13593607541618,-5.84416002686569,5.09130673872802e-09,1.24244486512155e-07,"none","ENSG00000211445",2878
"176","KCNE3",31.7945513042302,3.37025318074031,0.57824328159871,5.82843465370203,5.59496970685343e-09,1.3565082601357e-07,"up","ENSG00000175538",10008
"177","TRPA1",28.4021013642306,-2.87695959668613,0.493980739890849,-5.82403191938582,5.74445973983702e-09,1.38975070710217e-07,"down","ENSG00000104321",8989
